conversation_id,message_index,domain,text,visitor_id,account_id,session_id,is_rage,cluster_id,Use Case,Description
conv_0001,11,devops_tasks,Sorry I keep changing things 😬.,v10,a10,s10,False,9,Addressing 401 Errors Post-Refresh,"Users frequently report 401 authentication errors occurring after a refresh, often with apologies for repeated communication."
conv_0001,12,devops_tasks,"we already use Microsoft 365, can the app plug into that?",v11,a11,s11,False,11,Integrate with Existing Third-Party Tools,"Users inquire about the app's ability to integrate with their existing third-party platforms and services like Firebase, n8n, or Webhooks."
conv_0002,1,real_estate,"hey, can we build a property/tenants maintenance request app? 😂",v12,a12,s12,False,17,Prototyping Custom Business Applications,Users want to quickly prototype and build various custom business applications for specific operational needs.
conv_0002,2,real_estate,I’m a freelancer. we need audit logs: who changed what + when.,v13,a13,s13,False,19,Audit Logs for Change Tracking,"Users require audit logs to track who made changes, what was changed, and when these modifications occurred."
conv_0002,3,real_estate,need this: - status tracking + vendor assignment - tenant portal + landlord admin - email/SMS updates - property list + units - integrate OAuth (Google),v14,a14,s14,False,13,Internal Tools & Business Process Automation,"Users need custom applications to streamline internal operations, manage data, and automate workflows across various business functions."
conv_0002,4,real_estate,"ok, I need this to be GDPR-ish (at least delete account + export data). 🙏",v15,a15,s15,False,19,Audit Logs for Change Tracking,"Users require audit logs to track who made changes, what was changed, and when these modifications occurred."
conv_0002,5,real_estate,I’m in my 30s. spacing on mobile is off. header + list overlap.,v16,a16,s16,False,4,Mobile Layout and Spacing Issues,"Users are experiencing incorrect spacing and overlapping elements, specifically headers and lists, on mobile devices."
conv_0002,6,real_estate,Can we prototype a property/tenants maintenance request app today?,v17,a17,s17,False,17,Prototyping Custom Business Applications,Users want to quickly prototype and build various custom business applications for specific operational needs.
conv_0002,7,real_estate,"lol ok that’s actually pretty nice., can we add proper RLS + policies?",v18,a18,s18,False,5,Request for Core Platform Features,"Users are requesting essential features like admin tools, communication, and task management capabilities."
conv_0002,8,real_estate,ugh. I’m stuck. help.,v19,a19,s19,False,29,User Frustration with Product Difficulty,"Users are expressing significant frustration and difficulty, questioning the product's usability and their own sanity due to perceived complexity."
conv_0002,9,real_estate,"btw, quick requirements: - payment tracking (not processing) - status tracking + vendor assignment",v20,a20,s20,False,13,Internal Tools & Business Process Automation,"Users need custom applications to streamline internal operations, manage data, and automate workflows across various business functions."
conv_0003,1,community_forum,we need audit logs: who changed what + when.,v21,a21,s21,False,19,Audit Logs for Change Tracking,"Users require audit logs to track who made changes, what was changed, and when these modifications occurred."
conv_0003,2,community_forum,"I’m in my 30s. dark mode toggle please 🙏, getting 401s after refresh",v22,a22,s22,False,25,Request Dark Mode Toggle Feature,Users are consistently requesting the addition of a dark mode toggle for improved visual comfort and preference.
conv_0003,3,community_forum,I’M GETTING A REDIRECT LOOP AFTER LOGIN. IT KICKS ME BACK TO /LOGIN RANDOMLY.,v23,a23,s23,True,21,Login Redirect Loop After Authentication,"Users are experiencing a persistent redirect loop immediately after logging in, preventing access to the application."
conv_0003,4,community_forum,"uh, my kid asked me to add this: can we add tags/categories?",v24,a24,s24,False,5,Request for Core Platform Features,"Users are requesting essential features like admin tools, communication, and task management capabilities."
conv_0003,5,community_forum,I think we also need moderation tools.,v25,a25,s25,False,5,Request for Core Platform Features,"Users are requesting essential features like admin tools, communication, and task management capabilities."
conv_0003,6,community_forum,I’m in my 30s. something is broken: saving tags seems random,v26,a26,s26,False,3,Unreliable Tag Saving Functionality,"Users report inconsistent and random behavior when saving tags, hindering their ability to ship products reliably."
conv_0003,7,community_forum,wishlist: - moderation tools - user profiles - tags/categories - report button,v27,a27,s27,False,5,Request for Core Platform Features,"Users are requesting essential features like admin tools, communication, and task management capabilities."
conv_0003,8,community_forum,I want analytics: basic usage stats + funnels.,v28,a28,s28,False,12,Basic Usage Stats and Funnel Analytics,Users want to track fundamental usage metrics and analyze user conversion funnels within the product.
conv_0003,9,community_forum,I think we also need user profiles,v29,a29,s29,False,5,Request for Core Platform Features,"Users are requesting essential features like admin tools, communication, and task management capabilities."
conv_0004,1,education_lms,I want analytics: basic usage stats + funnels.,v30,a30,s30,False,12,Basic Usage Stats and Funnel Analytics,Users want to track fundamental usage metrics and analyze user conversion funnels within the product.
conv_0004,2,education_lms,"one more thing, mobile matters a lot, most users are on old Chromebook. 🤦",v31,a31,s31,False,28,Mobile Usage on MacBook,"This use case highlights the significant mobile usage among users, with a strong preference for MacBook devices."
conv_0004,3,education_lms,"can we add 2FA later? not now, just plan for it. 😂",v32,a32,s32,False,26,Planning for Two-Factor Authentication,"Users are requesting to plan for the future implementation of Two-Factor Authentication, not an immediate deployment."
conv_0004,4,education_lms,"I need export to CSV for the filtered view., timezone + UTC handling seems off",v33,a33,s33,False,18,Export Filtered View to CSV,Users want to export data from a filtered view into a CSV file for further analysis or sharing.
conv_0004,5,education_lms,"the UI feels kinda crowded, can we simplify it?",v34,a34,s34,False,6,Simplify Crowded User Interface,Users perceive the current UI as crowded and request simplification for a better user experience.
conv_0004,6,education_lms,can we add course modules + lessons?,v35,a35,s35,False,20,Assessing Feature Integration Difficulty,Users inquire about the perceived difficulty of integrating various new features and functionalities into the product.
conv_0004,7,education_lms,lol ok that’s actually pretty nice.,v36,a36,s36,False,6,Simplify Crowded User Interface,Users perceive the current UI as crowded and request simplification for a better user experience.
conv_0004,8,education_lms,"I want analytics: basic usage stats + funnels., getting 401s after refresh",v37,a37,s37,False,12,Basic Usage Stats and Funnel Analytics,Users want to track fundamental usage metrics and analyze user conversion funnels within the product.
conv_0004,9,education_lms,"spacing on mobile is off. header + list overlap., also please keep redirects/CORS sane for OAuth",v38,a38,s38,False,4,Mobile Layout and Spacing Issues,"Users are experiencing incorrect spacing and overlapping elements, specifically headers and lists, on mobile devices."
conv_0004,10,education_lms,"hey, can we build a course portal + assignments + grading app?, looks like the session state isn't ready before route guard",v39,a39,s39,False,27,GitHub Sync for Developer PR Reviews,"Users request GitHub synchronization to enable developers to review Pull Requests directly, streamlining code review processes."
conv_0004,11,education_lms,my wife asked me to add this: can you write me a short deploy checklist?,v40,a40,s40,False,1,Secure Secret Management with Environment Variables,Users are reminded to avoid hardcoding sensitive information and instead utilize environment variables for secure secret management.
conv_0005,1,manufacturing_qc,"Trying to make a quality checks + incident reporting app. nothing fancy, just usable.",v41,a41,s41,False,0,Simple Service and Coordination Apps,"Users want to build straightforward applications for coordination, booking, and service requests, prioritizing speed and simplicity."
conv_0005,2,manufacturing_qc,something is broken: I get a 401 even though I’m logged in,v42,a42,s42,False,9,Addressing 401 Errors Post-Refresh,"Users frequently report 401 authentication errors occurring after a refresh, often with apologies for repeated communication."
conv_0005,3,manufacturing_qc,I’m a college student. is it hard to add permissions by line/team?,v43,a43,s43,False,20,Assessing Feature Integration Difficulty,Users inquire about the perceived difficulty of integrating various new features and functionalities into the product.
conv_0005,4,manufacturing_qc,I’m a student. need this: - permissions by line/team - trend dashboards - batch/lot tracking - photo attachments,v44,a44,s44,False,13,Internal Tools & Business Process Automation,"Users need custom applications to streamline internal operations, manage data, and automate workflows across various business functions."
conv_0005,5,manufacturing_qc,"sorry, I’m a nurse. is it hard to add photo attachments?",v45,a45,s45,False,20,Assessing Feature Integration Difficulty,Users inquire about the perceived difficulty of integrating various new features and functionalities into the product.
conv_0005,6,manufacturing_qc,"ok, I think we also need trend dashboards",v46,a46,s46,False,5,Request for Core Platform Features,"Users are requesting essential features like admin tools, communication, and task management capabilities."
conv_0005,7,manufacturing_qc,"bug: I can’t log out (it keeps me signed in), can you fix?",v47,a47,s47,False,21,Login Redirect Loop After Authentication,"Users are experiencing a persistent redirect loop immediately after logging in, preventing access to the application."
conv_0005,8,manufacturing_qc,"uh, I’m a college student. spacing on mobile is off. header + list overlap.",v48,a48,s48,False,4,Mobile Layout and Spacing Issues,"Users are experiencing incorrect spacing and overlapping elements, specifically headers and lists, on mobile devices."
conv_0005,9,manufacturing_qc,my spouse asked me to add this: please make sure users can’t see other people’s private notes.??,v49,a49,s49,False,10,Implement Role-Based Access Control,"Users require distinct access levels, differentiating between administrators and normal users."
conv_0005,10,manufacturing_qc,my wife asked me to add this: we need audit logs: who changed what + when.,v50,a50,s50,False,19,Audit Logs for Change Tracking,"Users require audit logs to track who made changes, what was changed, and when these modifications occurred."
conv_0006,1,manufacturing_qc,Goal: a quality checks + incident reporting app. I want it fast and simple.,v51,a51,s51,False,0,Simple Service and Coordination Apps,"Users want to build straightforward applications for coordination, booking, and service requests, prioritizing speed and simplicity."
conv_0006,2,manufacturing_qc,"uh, I think we also need incident reporting ✅",v52,a52,s52,False,5,Request for Core Platform Features,"Users are requesting essential features like admin tools, communication, and task management capabilities."
conv_0006,3,manufacturing_qc,my kid asked me to add this: Goal: a quality checks + incident reporting app. I want it fast and simple.,v53,a53,s53,False,0,Simple Service and Coordination Apps,"Users want to build straightforward applications for coordination, booking, and service requests, prioritizing speed and simplicity."
conv_0006,4,manufacturing_qc,"uh, the UI feels kinda crowded, can we simplify it?",v54,a54,s54,False,6,Simplify Crowded User Interface,Users perceive the current UI as crowded and request simplification for a better user experience.
conv_0006,5,manufacturing_qc,Can we prototype a quality checks + incident reporting app today?,v55,a55,s55,False,17,Prototyping Custom Business Applications,Users want to quickly prototype and build various custom business applications for specific operational needs.
conv_0006,6,manufacturing_qc,I’m in my 60s. I want this to work in Firefox without weird glitches.,v56,a56,s56,False,14,Safari Browser Compatibility Issues,Users expect the product to function flawlessly and without glitches when used in the Safari web browser.
conv_0006,7,manufacturing_qc,I’m solo on this. Goal: a quality checks + incident reporting app. I want it fast and simple. 🙏,v57,a57,s57,False,0,Simple Service and Coordination Apps,"Users want to build straightforward applications for coordination, booking, and service requests, prioritizing speed and simplicity."
conv_0006,8,manufacturing_qc,wishlist: - permissions by line/team - photo attachments,v58,a58,s58,False,5,Request for Core Platform Features,"Users are requesting essential features like admin tools, communication, and task management capabilities."
conv_0006,9,manufacturing_qc,"RANDOM THOUGHT, MY SPOUSE ASKED ME TO ADD THIS: I WANT ANALYTICS: BASIC USAGE STATS + FUNNELS.",v59,a59,s59,True,12,Basic Usage Stats and Funnel Analytics,Users want to track fundamental usage metrics and analyze user conversion funnels within the product.
conv_0006,10,manufacturing_qc,wait I forgot: incident reporting,v60,a60,s60,False,22,Remembering Specific Content or Features,"Users frequently forget where to find specific announcements, content calendars, or other product features."
conv_0006,11,manufacturing_qc,"feature request: trend dashboards, looks like the session state isn't ready before route guard",v61,a61,s61,False,27,GitHub Sync for Developer PR Reviews,"Users request GitHub synchronization to enable developers to review Pull Requests directly, streamlining code review processes."
conv_0006,12,manufacturing_qc,something is broken: some users see 'permission denied' for no reason,v62,a62,s62,False,3,Unreliable Tag Saving Functionality,"Users report inconsistent and random behavior when saving tags, hindering their ability to ship products reliably."
conv_0006,13,manufacturing_qc,"so, can we make the empty states nicer? they look sad 😅",v63,a63,s63,False,23,Enhance Empty State User Experience,Users request improvements to the visual design and overall user experience of empty states to make them more engaging and less 'sad'.
conv_0006,14,manufacturing_qc,"my spouse asked me to add this: the UI feels kinda crowded, can we simplify it?",v64,a64,s64,False,6,Simplify Crowded User Interface,Users perceive the current UI as crowded and request simplification for a better user experience.
conv_0006,15,manufacturing_qc,need this: - trend dashboards - photo attachments - inspection checklists - permissions by line/team - incident reporting - integrate Webhooks,v65,a65,s65,False,13,Internal Tools & Business Process Automation,"Users need custom applications to streamline internal operations, manage data, and automate workflows across various business functions."
conv_0006,16,manufacturing_qc,please don’t hardcode secrets anywhere. env vars only.,v66,a66,s66,False,1,Secure Secret Management with Environment Variables,Users are reminded to avoid hardcoding sensitive information and instead utilize environment variables for secure secret management.
conv_0006,17,manufacturing_qc,can we add incident reporting???,v67,a67,s67,False,5,Request for Core Platform Features,"Users are requesting essential features like admin tools, communication, and task management capabilities."
conv_0007,1,manufacturing_qc,I need a quality checks + incident reporting app. can you help me put smth together?,v68,a68,s68,False,17,Prototyping Custom Business Applications,Users want to quickly prototype and build various custom business applications for specific operational needs.
conv_0007,2,manufacturing_qc,sorry I keep changing things 😬,v69,a69,s69,False,9,Addressing 401 Errors Post-Refresh,"Users frequently report 401 authentication errors occurring after a refresh, often with apologies for repeated communication."
conv_0007,3,manufacturing_qc,"hey, can we build a quality checks + incident reporting app?",v70,a70,s70,False,17,Prototyping Custom Business Applications,Users want to quickly prototype and build various custom business applications for specific operational needs.
conv_0007,4,manufacturing_qc,"quick thing, I don’t want this to feel heavy. keep it minimal pls.",v71,a71,s71,False,6,Simplify Crowded User Interface,Users perceive the current UI as crowded and request simplification for a better user experience.
conv_0007,5,manufacturing_qc,Please make sure users can’t see other people’s private notes.,v72,a72,s72,False,10,Implement Role-Based Access Control,"Users require distinct access levels, differentiating between administrators and normal users."
conv_0007,6,manufacturing_qc,something is broken: some users see 'permission denied' for no reason,v73,a73,s73,False,3,Unreliable Tag Saving Functionality,"Users report inconsistent and random behavior when saving tags, hindering their ability to ship products reliably."
conv_0007,7,manufacturing_qc,"random thought, need this: - inspection checklists - batch/lot tracking - integrate MongoDB",v74,a74,s74,False,13,Internal Tools & Business Process Automation,"Users need custom applications to streamline internal operations, manage data, and automate workflows across various business functions."
conv_0007,8,manufacturing_qc,MY HUSBAND ASKED ME TO ADD THIS: HOW DO WE HANDLE DUPLICATES WHEN IMPORTING FROM AIRTABLE?,v75,a75,s75,True,16,Managing Duplicates During CSV Import,This use case addresses how the system handles duplicate records when users import data from CSV files.
conv_0007,9,manufacturing_qc,"one more thing, I need a quality checks + incident reporting app. can you help me put something together?",v76,a76,s76,False,17,Prototyping Custom Business Applications,Users want to quickly prototype and build various custom business applications for specific operational needs.
conv_0007,10,manufacturing_qc,"one more thing, need this: - photo attachments - inspection checklists - incident reporting - trend dashboards - batch/lot tracking - integrate Firebase",v77,a77,s77,False,13,Internal Tools & Business Process Automation,"Users need custom applications to streamline internal operations, manage data, and automate workflows across various business functions."
conv_0008,1,customer_support,"uh, I need webhooks out to Microsoft 365.",v78,a78,s78,False,15,Table View Usability Across Devices,"Users report a painful table view experience on various devices like MacBook, Chromebook, and Android, seeking improvements."
conv_0008,2,customer_support,"btw, can we import old system CSV dump and map fields?",v79,a79,s79,False,2,Import CSV and Map Fields,Users want to import data from CSV files and map the fields to existing data structures within the system.
conv_0008,3,customer_support,dark mode toggle please 🙏,v80,a80,s80,False,25,Request Dark Mode Toggle Feature,Users are consistently requesting the addition of a dark mode toggle for improved visual comfort and preference.
conv_0008,4,customer_support,let’s use Postgres for auth + DB.,v81,a81,s81,False,7,Platform Integrations for Auth and DB,"Users are exploring integrating authentication and database services with various third-party platforms like GitHub, Netlify, Vercel, and Slack."
conv_0008,5,customer_support,I’m solo on this. how do we handle duplicates when importing from old system CSV dump?,v82,a82,s82,False,16,Managing Duplicates During CSV Import,This use case addresses how the system handles duplicate records when users import data from CSV files.
conv_0008,6,customer_support,"mobile matters a lot, most users are on Windows laptop.",v83,a83,s83,False,28,Mobile Usage on MacBook,"This use case highlights the significant mobile usage among users, with a strong preference for MacBook devices."
conv_0008,7,customer_support,is it hard to add assignment + routing rules?,v84,a84,s84,False,20,Assessing Feature Integration Difficulty,Users inquire about the perceived difficulty of integrating various new features and functionalities into the product.
conv_0008,8,customer_support,"let’s use Stripe for auth + DB., also please keep redirects/CORS sane for OAuth",v85,a85,s85,False,7,Platform Integrations for Auth and DB,"Users are exploring integrating authentication and database services with various third-party platforms like GitHub, Netlify, Vercel, and Slack."
conv_0008,9,customer_support,"random thought, here’s what I’m thinking: - SLA timers - knowledge base - assignment + routing rules - tags + macros - CSAT survey links - integrate Google Calendar",v86,a86,s86,False,13,Internal Tools & Business Process Automation,"Users need custom applications to streamline internal operations, manage data, and automate workflows across various business functions."
conv_0008,10,customer_support,can you write me a short deploy checklist?,v87,a87,s87,False,1,Secure Secret Management with Environment Variables,Users are reminded to avoid hardcoding sensitive information and instead utilize environment variables for secure secret management.
conv_0008,11,customer_support,I want analytics: basic usage stats + funnels.,v88,a88,s88,False,12,Basic Usage Stats and Funnel Analytics,Users want to track fundamental usage metrics and analyze user conversion funnels within the product.
conv_0008,12,customer_support,how do we handle duplicates when importing from Airtable?,v89,a89,s89,False,16,Managing Duplicates During CSV Import,This use case addresses how the system handles duplicate records when users import data from CSV files.
conv_0008,13,customer_support,I think we also need tags + macros,v90,a90,s90,False,5,Request for Core Platform Features,"Users are requesting essential features like admin tools, communication, and task management capabilities."
conv_0009,1,restaurant_booking,"please don’t hardcode secrets anywhere. env vars only., also please keep redirects/CORS sane for OAuth",v91,a91,s91,False,1,Secure Secret Management with Environment Variables,Users are reminded to avoid hardcoding sensitive information and instead utilize environment variables for secure secret management.
conv_0009,2,restaurant_booking,this keeps happening: filters reset every time I refresh (I can’t ship like this),v92,a92,s92,False,3,Unreliable Tag Saving Functionality,"Users report inconsistent and random behavior when saving tags, hindering their ability to ship products reliably."
conv_0009,3,restaurant_booking,wait I forgot: deposit payments for large groups,v93,a93,s93,False,22,Remembering Specific Content or Features,"Users frequently forget where to find specific announcements, content calendars, or other product features."
conv_0009,4,restaurant_booking,can you write me a short deploy checklist?,v94,a94,s94,False,1,Secure Secret Management with Environment Variables,Users are reminded to avoid hardcoding sensitive information and instead utilize environment variables for secure secret management.
conv_0009,5,restaurant_booking,what env vars do I need to set for prod?,v95,a95,s95,False,1,Secure Secret Management with Environment Variables,Users are reminded to avoid hardcoding sensitive information and instead utilize environment variables for secure secret management.
conv_0009,6,restaurant_booking,"sorry, I handle support tickets. deploy on AWS (EC2). I don’t want to self-host.",v96,a96,s96,False,24,Deploying on Managed Cloud Platforms,"Users prefer deploying applications on managed cloud platforms like Fly.io or Render, avoiding self-hosting complexities."
conv_0009,7,restaurant_booking,I need a restaurant booking + waitlist app. can you help me put something together?,v97,a97,s97,False,17,Prototyping Custom Business Applications,Users want to quickly prototype and build various custom business applications for specific operational needs.
conv_0010,1,hr_onboarding,"Trying to make an HR onboarding checklist + documents app. nothing fancy, just usable.",v98,a98,s98,False,0,Simple Service and Coordination Apps,"Users want to build straightforward applications for coordination, booking, and service requests, prioritizing speed and simplicity."
conv_0010,2,hr_onboarding,"also, this keeps happening: filters reset every time I refresh (I can’t ship like this)",v99,a99,s99,False,3,Unreliable Tag Saving Functionality,"Users report inconsistent and random behavior when saving tags, hindering their ability to ship products reliably."
conv_0010,3,hr_onboarding,I’m in my early 20s. is it hard to add equipment requests?,v100,a100,s100,False,20,Assessing Feature Integration Difficulty,Users inquire about the perceived difficulty of integrating various new features and functionalities into the product.
conv_0010,4,hr_onboarding,Can we prototype an HR onboarding checklist + documents app today?,v101,a101,s101,False,17,Prototyping Custom Business Applications,Users want to quickly prototype and build various custom business applications for specific operational needs.
conv_0010,5,hr_onboarding,my wife asked me to add this: I need an HR onboarding checklist + documents app. can u help me put something together???,v102,a102,s102,False,17,Prototyping Custom Business Applications,Users want to quickly prototype and build various custom business applications for specific operational needs.
conv_0010,6,hr_onboarding,"the UI feels kinda crowded, can we simplify it?!!",v103,a103,s103,False,6,Simplify Crowded User Interface,Users perceive the current UI as crowded and request simplification for a better user experience.
conv_0010,7,hr_onboarding,"Trying to make an HR onboarding checklist + documents app. nothing fancy, just usable.",v104,a104,s104,False,0,Simple Service and Coordination Apps,"Users want to build straightforward applications for coordination, booking, and service requests, prioritizing speed and simplicity."
conv_0010,8,hr_onboarding,lol ok that’s actually pretty nice.,v105,a105,s105,False,6,Simplify Crowded User Interface,Users perceive the current UI as crowded and request simplification for a better user experience.
conv_0010,9,hr_onboarding,can we import Google Sheets and map fields?,v106,a106,s106,False,2,Import CSV and Map Fields,Users want to import data from CSV files and map the fields to existing data structures within the system.
conv_0010,10,hr_onboarding,can we add announcements?,v107,a107,s107,False,20,Assessing Feature Integration Difficulty,Users inquire about the perceived difficulty of integrating various new features and functionalities into the product.
conv_0010,11,hr_onboarding,"also, here’s what I’m thinking: - doc signing placeholder - onboarding checklist - equipment requests - audit logs",v108,a108,s108,False,13,Internal Tools & Business Process Automation,"Users need custom applications to streamline internal operations, manage data, and automate workflows across various business functions."
conv_0010,12,hr_onboarding,I don’t want this to feel heavy. keep it minimal pls. 😂,v109,a109,s109,False,6,Simplify Crowded User Interface,Users perceive the current UI as crowded and request simplification for a better user experience.
conv_0011,1,real_estate,I need a property/tenants maintenance request app. can you help me put something together? ✅,v110,a110,s110,False,17,Prototyping Custom Business Applications,Users want to quickly prototype and build various custom business applications for specific operational needs.
conv_0011,2,real_estate,can we import CSV and map fields?,v111,a111,s111,False,2,Import CSV and Map Fields,Users want to import data from CSV files and map the fields to existing data structures within the system.
conv_0011,3,real_estate,quick requirements: - maintenance request form with photos - property list + units - payment tracking (not processing) - tenant portal + landlord admin - status tracking + vendor assignment - integrate Zapier,v112,a112,s112,False,13,Internal Tools & Business Process Automation,"Users need custom applications to streamline internal operations, manage data, and automate workflows across various business functions."
conv_0011,4,real_estate,need this: - tenant portal + landlord admin - status tracking + vendor assignment - maintenance request form with photos - property list + units - email/SMS updates,v113,a113,s113,False,13,Internal Tools & Business Process Automation,"Users need custom applications to streamline internal operations, manage data, and automate workflows across various business functions."
conv_0011,5,real_estate,is it hard to add tenant portal + landlord admin?,v114,a114,s114,False,20,Assessing Feature Integration Difficulty,Users inquire about the perceived difficulty of integrating various new features and functionalities into the product.
conv_0011,6,real_estate,can we add email/SMS updates???,v115,a115,s115,False,20,Assessing Feature Integration Difficulty,Users inquire about the perceived difficulty of integrating various new features and functionalities into the product.
conv_0011,7,real_estate,I’m a founder. I need webhooks out to GitHub.,v116,a116,s116,False,15,Table View Usability Across Devices,"Users report a painful table view experience on various devices like MacBook, Chromebook, and Android, seeking improvements."
conv_0011,8,real_estate,please make sure users can’t see other people’s private notes.,v117,a117,s117,False,10,Implement Role-Based Access Control,"Users require distinct access levels, differentiating between administrators and normal users."
conv_0012,1,legal_case_tracker,I need a case tracker for a small legal team. can you help me put something together?,v118,a118,s118,False,17,Prototyping Custom Business Applications,Users want to quickly prototype and build various custom business applications for specific operational needs.
conv_0012,2,legal_case_tracker,we need audit logs: who changed what + when.,v119,a119,s119,False,19,Audit Logs for Change Tracking,"Users require audit logs to track who made changes, what was changed, and when these modifications occurred."
conv_0012,3,legal_case_tracker,can we add deadlines calendar?,v120,a120,s120,False,20,Assessing Feature Integration Difficulty,Users inquire about the perceived difficulty of integrating various new features and functionalities into the product.
conv_0012,4,legal_case_tracker,"I’m a college student. can we add role-based visibility?, looks like the session state isn't ready before route guard",v121,a121,s121,False,27,GitHub Sync for Developer PR Reviews,"Users request GitHub synchronization to enable developers to review Pull Requests directly, streamlining code review processes."
conv_0012,5,legal_case_tracker,"the UI feels kinda crowded, can we simplify it?",v122,a122,s122,False,6,Simplify Crowded User Interface,Users perceive the current UI as crowded and request simplification for a better user experience.
conv_0012,6,legal_case_tracker,"spacing on mobile is off. header + list overlap., looks like the session state isn't ready before route guard",v123,a123,s123,False,4,Mobile Layout and Spacing Issues,"Users are experiencing incorrect spacing and overlapping elements, specifically headers and lists, on mobile devices."
conv_0012,7,legal_case_tracker,please make sure users can’t see other people’s private notes.,v124,a124,s124,False,10,Implement Role-Based Access Control,"Users require distinct access levels, differentiating between administrators and normal users."
conv_0012,8,legal_case_tracker,table view is painful on iPhone. any ideas?,v125,a125,s125,False,15,Table View Usability Across Devices,"Users report a painful table view experience on various devices like MacBook, Chromebook, and Android, seeking improvements."
conv_0013,1,restaurant_booking,Can we prototype a restaurant booking + waitlist app today?,v126,a126,s126,False,17,Prototyping Custom Business Applications,Users want to quickly prototype and build various custom business applications for specific operational needs.
conv_0013,2,restaurant_booking,I’m a teacher. Staging env too please (staging.portal.events-example.com).,v127,a127,s127,False,1,Secure Secret Management with Environment Variables,Users are reminded to avoid hardcoding sensitive information and instead utilize environment variables for secure secret management.
conv_0013,3,restaurant_booking,deploy on AWS (EC2). I don’t want to self-host.,v128,a128,s128,False,24,Deploying on Managed Cloud Platforms,"Users prefer deploying applications on managed cloud platforms like Fly.io or Render, avoiding self-hosting complexities."
conv_0013,4,restaurant_booking,"mobile matters a lot, most users are on iPad.",v129,a129,s129,False,28,Mobile Usage on MacBook,"This use case highlights the significant mobile usage among users, with a strong preference for MacBook devices."
conv_0013,5,restaurant_booking,"so, dark mode toggle please 🙏",v130,a130,s130,False,25,Request Dark Mode Toggle Feature,Users are consistently requesting the addition of a dark mode toggle for improved visual comfort and preference.
conv_0013,6,restaurant_booking,"feature request: waitlist with SMS updates, can we add proper RLS + policies?",v131,a131,s131,False,5,Request for Core Platform Features,"Users are requesting essential features like admin tools, communication, and task management capabilities."
conv_0013,7,restaurant_booking,can we add waitlist with SMS updates?,v132,a132,s132,False,20,Assessing Feature Integration Difficulty,Users inquire about the perceived difficulty of integrating various new features and functionalities into the product.
conv_0013,8,restaurant_booking,my mom asked me to add this: something is broken: I get a 401 even though I’m logged in,v133,a133,s133,False,9,Addressing 401 Errors Post-Refresh,"Users frequently report 401 authentication errors occurring after a refresh, often with apologies for repeated communication."
conv_0013,9,restaurant_booking,I manage operations. staging env too please (staging.dashboard.mycompany.com).,v134,a134,s134,False,1,Secure Secret Management with Environment Variables,Users are reminded to avoid hardcoding sensitive information and instead utilize environment variables for secure secret management.
conv_0013,10,restaurant_booking,"sorry, I need webhooks out to SendGrid.",v135,a135,s135,False,15,Table View Usability Across Devices,"Users report a painful table view experience on various devices like MacBook, Chromebook, and Android, seeking improvements."
